PERMNO,date,VOL,RET,BID,ASK
25785,2008-05-23,66871600,-0.040503,6.89000,6.92000
25785,2008-05-27,71148900,-0.010189,6.79000,6.80000
25785,2008-05-28,50981200,-0.002941,6.75000,6.77000
25785,2008-05-29,28447800,-0.010325,6.70000,6.71000
25785,2008-05-30,55748300,0.013413,6.81000,6.82000
25785,2008-06-02,51984300,-0.023529,6.65000,6.65000
25785,2008-06-03,56053200,0.006024,6.66000,6.68000
25785,2008-06-04,56144000,-0.032934,6.48000,6.49000
25785,2008-06-05,48559300,-0.009288,6.38000,6.39000
25785,2008-06-06,64502800,-0.056250,6.06000,6.07000
25785,2008-06-09,50800100,0.052980,6.18000,6.19000
25785,2008-06-10,34514100,-0.037736,6.13000,6.14000
25785,2008-06-11,42860200,-0.024510,5.97000,5.98000
25785,2008-06-12,32446300,0.005025,5.98000,6.00000
25785,2008-06-13,59521300,0.045000,6.28000,6.28000
25785,2008-06-16,63861600,0.036683,6.50000,6.51000
25785,2008-06-17,56362600,0.015385,6.59000,6.60000
25785,2008-06-18,96909900,-0.057576,6.22000,6.24000
25785,2008-06-19,39759300,0.016077,6.31000,6.32000
25785,2008-06-20,97632800,-0.080696,5.78000,5.79000
25785,2008-06-23,81513400,-0.091222,5.28000,5.30000
25785,2008-06-24,109774500,0.007576,5.30000,5.31000
25785,2008-06-25,40673000,-0.015038,5.25000,5.26000
25785,2008-06-26,82334600,-0.032443,5.04000,5.05000
25785,2008-06-27,55993200,-0.017752,4.96000,4.97000
25785,2008-06-30,76164700,-0.034137,4.83000,4.84000
25785,2008-07-01,125482600,-0.020790,4.74000,4.75000
25785,2008-07-02,64264600,-0.074310,4.38000,4.39000
25785,2008-07-03,32063300,0.013761,4.44000,4.45000
25785,2008-07-07,51350600,0.011312,4.49000,4.50000
25785,2008-07-08,72900500,0.096197,4.92000,4.93000
25785,2008-07-09,78156200,0.010204,4.96000,4.98000
25785,2008-07-10,77252100,-0.074747,4.56000,4.58000
25785,2008-07-11,74946000,0.061135,4.84000,4.85000
25785,2008-07-14,39818100,-0.041152,4.69000,4.70000
25785,2008-07-15,77520700,-0.002146,4.65000,4.66000
25785,2008-07-16,96542600,0.180645,5.48000,5.49000
25785,2008-07-17,72729400,0.000000,5.48000,5.49000
25785,2008-07-18,39138700,-0.009107,5.42000,5.44000
25785,2008-07-21,40041900,0.007353,5.48000,5.49000
25785,2008-07-22,54199800,0.065693,5.82000,5.83000
25785,2008-07-23,70485600,0.032534,6.00000,6.02000
25785,2008-07-24,98043400,-0.152570,5.11000,5.13000
25785,2008-07-25,66476200,-0.011742,5.03000,5.07000
25785,2008-07-28,83929100,-0.059406,4.75000,4.76000
25785,2008-07-29,57078100,0.056842,4.99000,5.00000
25785,2008-07-30,57869300,-0.035857,4.81000,4.82000
25785,2008-07-31,43011700,-0.008264,4.84000,4.85000
25785,2008-08-01,54286700,-0.031250,4.63000,4.65000
25785,2008-08-04,30831400,0.034409,4.79000,4.80000
25785,2008-08-05,61653500,0.058212,5.05000,5.06000
25785,2008-08-06,59317100,-0.029470,4.92000,4.93000
25785,2008-08-07,36662100,-0.016194,4.87000,4.88000
25785,2008-08-08,44401400,0.082305,5.21000,5.22000
