quarter_end,RET_mean,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,upper_exceed_ratio,abs_mean_excess,abs_max_excess,abs_var,abs_es_q,upper_mean_excess,upper_max_excess,upper_var,upper_es_q,lower_mean_excess,lower_max_excess,lower_var,lower_es_q,municipal_decline,pred_prob
2000-03-31,-0.0018186507936507935,0.09472,0.021564015873015874,0.09472,4,6,4,0.05314698748154507,0.03131747794229239,15.132773592804188,0.3434589807643489,15.922445785563143,0.011963335732510573,0.06741573033707865,63,0.1111111111111111,0.0,0.0,0.09523809523809523,0.02020870000000001,0.04561420000000001,0.24566677898084371,0.165028275707984,0.018489633333333356,0.05576080000000002,0.20080408553342113,0.15664382614111674,0.012162099999999999,0.0186206,0.1644907268046905,0.13299501017398394,0,0.002237437028080949
2000-06-30,9.97936507936507e-05,0.110706,0.019389666666666666,0.110706,5,4,5,0.027424429432805705,0.042600860277980594,15.066918208538267,0.3825863037032606,16.284719643144975,0.00946188714155884,0.0674955595026643,63,0.047619047619047616,0.0,0.0,0.06349206349206349,0.015598400000000007,0.06160020000000001,0.24566677898084371,0.165028275707984,0.026497050000000022,0.07174680000000003,0.20080408553342113,0.15664382614111674,0.010608199999999998,0.0203816,0.1644907268046905,0.13299501017398394,0,0.009884534029729747
2000-09-30,0.0007428888888888891,0.087866,0.016035968253968254,0.087866,3,2,4,0.00865398484044663,0.03585541813662753,15.512384346619129,0.6405927310227405,17.155119622354658,0.005027450003551724,0.0106951871657754,63,0.0,0.0,0.0,0.031746031746031744,0.021753533333333342,0.03876020000000001,0.24566677898084371,0.165028275707984,0.032473800000000025,0.04890680000000002,0.20080408553342113,0.15664382614111674,0.012808349999999996,0.033836599999999994,0.1644907268046905,0.13299501017398394,0,0.08938538987772977
2000-12-31,-0.0004610793650793655,0.09322,0.027530253968253968,0.09322,9,8,7,0.06410017225731408,0.03913159725228139,15.389061091270543,0.361583849994835,16.031349802349272,0.033954351478305354,0.06315789473684211,63,0.8095238095238095,0.0,0.0,0.12698412698412698,0.01677764444444445,0.044114200000000006,0.24566677898084371,0.165028275707984,0.01987730000000002,0.05426080000000002,0.20080408553342113,0.15664382614111674,0.01931717142857143,0.0331786,0.1644907268046905,0.13299501017398394,0,0.00019866199963902083
2001-03-31,0.003392806451612903,0.072139,0.018696129032258063,0.072139,2,4,3,0.041070348323369726,0.03229447942429649,15.483848838808669,0.32461861737879627,16.516616771963264,0.0307706357866543,0.057777777777777775,62,0.8387096774193549,0.0,0.0,0.06451612903225806,0.012711700000000006,0.023033200000000004,0.24566677898084371,0.165028275707984,0.011895800000000019,0.033179800000000016,0.20080408553342113,0.15664382614111674,0.00710793333333333,0.015620599999999998,0.1644907268046905,0.13299501017398394,0,0.005690416397571701
2001-06-30,-0.0017608571428571426,0.063366,0.01678873015873016,0.063366,2,4,2,0.03736401122052514,0.021383343450361067,15.550049271224468,0.3359867314961698,16.450064978972136,0.020300597713347444,0.04154091958104036,63,0.47619047619047616,0.0,0.0,0.06349206349206349,0.00793220000000001,0.014260200000000015,0.24566677898084371,0.165028275707984,0.011312050000000023,0.024406800000000027,0.20080408553342113,0.15664382614111674,0.005808599999999997,0.007465599999999996,0.1644907268046905,0.13299501017398394,0,0.01145826174020232
2001-09-30,-0.005158203389830508,0.071056,0.021251694915254235,0.146907,5,3,5,0.029211152324784363,0.022361435211947535,15.447232983875148,0.5071999384603274,16.677505760600557,0.008373928426234523,0.016997167138810266,59,0.0,0.0,0.0,0.05084745762711865,0.03299380000000001,0.09780120000000002,0.24566677898084371,0.165028275707984,0.014227133333333352,0.032096800000000016,0.20080408553342113,0.15664382614111674,0.0403296,0.11103160000000001,0.1644907268046905,0.13299501017398394,0,0.04928630165337
2001-12-31,-0.001098046875,0.043783,0.019347953125,0.068323,3,2,5,0.027256710634380236,0.030474768978607847,15.535831684896895,0.35639913836048226,16.519231467861168,0.00913594153215417,0.01501795625204051,64,0.0,0.0,0.0,0.03125,0.011582200000000008,0.019217200000000004,0.24566677898084371,0.165028275707984,0.0025073000000000213,0.004823800000000024,0.20080408553342113,0.15664382614111674,0.018050999999999998,0.03244759999999999,0.1644907268046905,0.13299501017398394,0,0.11934813100789872
2002-03-31,0.0011834,0.051075,0.01869833333333333,0.062538,2,3,4,0.03220958270597625,0.043670340373536974,16.152879231223526,0.5302544297568055,17.73692336093852,0.010500686011243246,0.022191400832177553,60,0.06666666666666667,0.0,0.0,0.05,0.007700700000000008,0.013432200000000005,0.24566677898084371,0.165028275707984,0.008035800000000022,0.012115800000000024,0.20080408553342113,0.15664382614111674,0.009034599999999997,0.026662599999999995,0.1644907268046905,0.13299501017398394,0,0.080214076891796
2002-06-30,-0.00013576562499999993,0.053121,0.017612359375,0.053121,2,2,3,0.01543634753011373,0.024637770834642348,15.79397296141618,0.3258389363201139,16.905866457516634,0.007129411417306894,0.01769911504424786,64,0.0,0.0,0.0,0.03125,0.0028582000000000087,0.00401520000000001,0.24566677898084371,0.165028275707984,0.013004800000000021,0.014161800000000023,0.20080408553342113,0.15664382614111674,0.009614933333333332,0.010213599999999996,0.1644907268046905,0.13299501017398394,0,0.13897960406627152
2002-09-30,-0.007042890625,0.067452,0.025791234375,0.074123,7,5,9,0.03804221071115809,0.05920457871606613,16.113167400373907,0.33356900006019574,16.835320669807782,0.008832178801281267,0.018499486125385375,64,0.0,0.0,0.0,0.078125,0.01506648571428572,0.025017200000000003,0.24566677898084371,0.165028275707984,0.01662800000000002,0.02849280000000002,0.20080408553342113,0.15664382614111674,0.017292599999999998,0.03824759999999999,0.1644907268046905,0.13299501017398394,0,0.02145826042409314
2002-12-31,0.0005351718749999998,0.156174,0.034194046875,0.156174,14,9,10,0.046383675768709984,0.042214410835640565,16.207589415033553,0.559836516261136,17.6830758217128,0.004231530901671982,0.014388489208633152,64,0.0,0.0,0.0,0.140625,0.039448842857142875,0.10706820000000002,0.24566677898084371,0.165028275707984,0.04863946666666669,0.11721480000000004,0.20080408553342113,0.15664382614111674,0.0316159,0.0942556,0.1644907268046905,0.13299501017398394,0,0.0010553943441503882
2003-03-31,-0.0028506557377049177,0.072727,0.024478295081967215,0.072727,8,6,7,0.03972815778574258,0.06365685921374334,16.07124725824246,0.4770774902462235,17.135646137852852,0.003392344357000424,0.011363636363636322,61,0.0,0.0,0.0,0.09836065573770492,0.01209420000000001,0.02362120000000001,0.24566677898084371,0.165028275707984,0.021848300000000025,0.03376780000000002,0.20080408553342113,0.15664382614111674,0.010667742857142854,0.021481599999999997,0.1644907268046905,0.13299501017398394,0,0.008861209788112693
2003-06-30,0.006562571428571428,0.105389,0.020907619047619046,0.105389,6,10,1,0.09139622322184923,0.005898000588655479,16.266541146562453,0.4056882299923353,17.40131302606973,0.0026983505988501647,0.011904761904762003,63,0.0,0.0,0.0,0.15873015873015872,0.01394370000000001,0.056283200000000005,0.24566677898084371,0.165028275707984,0.015311200000000021,0.06642980000000001,0.20080408553342113,0.15664382614111674,0.0155536,0.0155536,0.1644907268046905,0.13299501017398394,0,0.0006908770562506363
